supplier_gstin,invoice_number,itc_amount,upload_date,status
27AABCS1234F1Z5,ST-2026-0451,7560.00,2026-06-01,matched
27AABCS1234F1Z5,ST-2026-0452,3330.00,2026-06-01,matched
07AABCG5678H1Z3,GD-2026-1101,11700.00,2026-06-01,matched
07AABCG5678H1Z3,GD-2026-1102,1600.00,2026-06-01,matched
24AABCM9012J1Z1,MS-2026-0789,750.00,2026-06-01,matched
24AABCM9012J1Z1,MS-2026-0790,5040.00,2026-06-01,matched
27AABCS1234F1Z5,ST-2026-0453,1710.00,2026-06-01,matched
07AABCG5678H1Z3,GD-2026-1103,9900.00,2026-06-01,matched
24AABCM9012J1Z1,MS-2026-0791,1100.00,2026-06-01,matched
27AABCS1234F1Z5,ST-2026-0454,2160.00,2026-06-01,matched
27AABCS9999F1Z5,ST-2026-0455,6300.00,2026-06-01,gstin_mismatch
07AABCG0000H1Z3,GD-2026-1104,8640.00,2026-06-01,gstin_mismatch
07AABCG5678H1Z3,GD-2026-1105,12937.50,2026-06-01,amount_mismatch
24AABCM9012J1Z1,MS-2026-0792,2480.00,2026-06-01,amount_mismatch
